"Drug","Serious - More common","Serious - Less common","Serious - Rare","Serious - Incidence not known","Serious - More common in children","Symptoms of overdose","More common","Less common","Rare","Incidence not known"
"alprazolam","Being forgetful; changes in patterns and rhythms of speech; clumsiness or unsteadiness; difficulty with coordination; discouragement; drowsiness; feeling sad or empty; irritability; lack of appetite; lightheadedness; loss of interest or pleasure; relaxed and calm; shakiness and unsteady walk; sleepiness or unusual drowsiness; slurred speech; tiredness; trouble concentrating; trouble performing routine tasks; trouble sleeping; trouble speaking; unsteadiness, trembling, or other problems with muscle control or coordination; unusual tiredness or weakness; ","Abdominal or stomach pain; blurred vision; body aches or pain; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; changes in behavior; chills; clay-colored stools; confusion about identity, place, and time; cough; dark urine; decrease in frequency of urination; decrease in urine volume; diarrhea; difficult or labored breathing; difficulty in passing urine (dribbling); difficulty with concentration; difficulty with moving; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; dry mouth; ear congestion; environment seems unreal; fainting; fear or nervousness; feeling of unreality; feeling warm; fever; general feeling of discomfort or illness; headache; hyperventilation; inability to move the eyes; inability to sit still; increased blinking or spasms of the eyelid; irregular heartbeats; itching or rash; joint pain; lack or loss of self-control; loss of bladder control; loss of coordination; loss of memory; loss of voice; mood or mental changes; muscle aching or cramping; muscle pain or stiffness; muscle weakness; nasal congestion; nausea; need to keep moving; painful urination; problems with memory; restlessness; runny nose; seeing, hearing, or feeling things that are not there; seizures; sense of detachment from self or body; shaking; shivering; sneezing; sore throat; sticking out of the tongue; sweating; swollen joints; talkativeness; tightness in the chest; trouble with balance; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; uncontrolled twisting movements of the neck, trunk, arms, or legs; unpleasant breath odor; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; unusual facial expressions; unusually deep sleep; unusually long duration of sleep; vomiting of blood; yellow eyes or skin; ","Actions that are out of control; attack, assault, or force; chest pain; continuing ringing or buzzing or other unexplained noise in the ears; decreased awareness or responsiveness; deep or fast breathing with dizziness; ear pain; false or unusual sense of well-being; fast, irregular, pounding, or racing heartbeat or pulse; feeling jittery; feeling unusually cold; generalized slowing of mental and physical activity; hearing loss; hoarseness; lack of feeling or emotion; loss of control of the legs; loss of strength or energy; nightmares; numbness of the feet, hands, and around mouth; severe sleepiness; shakiness in the legs, arms, hands, or feet; sleep talking; swelling; talking, feeling, and acting with excitement; thoughts of killing oneself; uncaring; unusual weak feeling; voice changes; ","General tiredness and weakness; light-colored stools; stomach pain, continuing; upper right abdominal or stomach pain; ",,,"Absent, missed, or irregular menstrual periods; decreased appetite; decreased interest in sexual intercourse; decreased sexual performance or desire abnormal ejaculation; difficulty having a bowel movement (stool); inability to have or keep an erection; increased appetite; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased weight; loss in sexual ability, desire, drive, or performance; stopping of menstrual bleeding; watering of the mouth; weight loss; ","Abdominal or bloating and cramping; blistering, crusting, irritation, itching, or reddening of the skin; change in taste bad unusual or unpleasant (after) taste; cracked, dry, or scaly skin; cramps; double vision; feeling of warmth; heavy bleeding; menstrual changes; pain; pelvic pain; redness of the face, neck, arms, and occasionally, upper chest; seeing double; sudden sweating; unexplained runny nose or sneezing; ","Acid or sour stomach; belching; bigger, dilated, or enlarged pupils (black part of the eye); change in color vision; difficulty seeing at night; feeling of constant movement of self or surroundings; feeling of relaxation; heartburn; hives or welts; increased sensitivity of the eyes to sunlight; indigestion; redness of the skin; runny nose; sensation of spinning; stomach discomfort, upset, or pain; stuffy nose; ","Blistering, peeling, or loosening of the skin; red, irritated eyes; red skin lesions, often with a purple center; sores, ulcers, or white spots in the mouth or on the lips; swelling of the breasts or breast soreness in both females and males; unexpected or excess milk flow from the breasts"
"amantadine","Bladder pain; bloody or cloudy urine; blurred vision; confusion; difficult, burning, or painful urination; dizziness or lightheadedness; fainting; falls; frequent urge to urinate; lower back or side pain; seeing, hearing, or feeling things that are not there; swelling of the hands, feet, or lower legs; ","Inability to move the eyes; increased blinking or spasms of the eyelid; muscle spasm; sticking out of the tongue; troubled breathing, speaking, or swallowing; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual facial expressions; ","Chills; decreased vision or any change in vision; difficulty in coordination; fever; increased blood pressure; increase in body movements; irritation and swelling of the eye; loss of memory; mental depression; seizures; severe mood or mental changes; skin rash; slurred speech; sore throat; thoughts of suicide or attempts at suicide; ",,,,"Agitation; anxiety; difficulty concentrating; headache; irritability; loss of appetite; nausea; nervousness; nightmares; purplish red, net-like, or blotchy spots on the skin; trouble with sleeping; ","Constipation; decrease in sexual desire; diarrhea; drowsiness; dryness of the mouth, nose, and throat; false sense of well-being; unusual tiredness or weakness; vomiting; ",,
"amitriptyline-chlordiazepoxide",,"Blurred vision or other changes in vision; confusion or hallucinations (seeing, hearing, or feeling things that are not there); constipation; difficulty in urinating; eye pain; fainting; irregular heartbeat; mental depression; shakiness; trouble in sleeping; unusual excitement, nervousness, or irritability; ","Convulsions (seizures); increased sensitivity to sunlight; skin rash and itching; sore throat and fever; yellow eyes or skin; ",,,"Agitation; confusion; convulsions (seizures); dizziness or lightheadedness (severe); drowsiness (severe); enlarged pupils; fast or irregular heartbeat; fever; hallucinations; muscle stiffness or rigidity; vomiting (severe); ","Bloating; clumsiness or unsteadiness; dizziness or lightheadedness; drowsiness; dryness of mouth or unpleasant taste; headache; weight gain; ","Diarrhea; nausea or vomiting; unusual tiredness or weakness; After you stop using this medicine, it may still produce some side effects that need attention. During this period of time, <b>Check with your doctor immediately<b> if you notice the following side effects:; Convulsions (seizures); headache; increased sweating; irritability or restlessness; muscle cramps; nausea or vomiting; stomach cramps; trembling; trouble with sleeping, and vivid dreams",,
"amoxapine",,"Excitement; fast, irregular, pounding, or racing heartbeat or pulse; fear or nervousness; mood or mental changes; nightmares; restlessness; shakiness and unsteady walk; shakiness in legs, arms, hands, or feet; sleeplessness; swelling; trouble sleeping; unable to sleep; unsteadiness, trembling, or other problems with muscle control or coordination; ","Abdominal or stomach pain; actions that are out of control; black, tarry stools; bleeding gums; bloating; blood in urine or stools; blurred vision; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chest pain or discomfort; chills; clay-colored stools; confusion; confusion about identity, place, and time; constipation; continuing ringing or buzzing or other unexplained noise in ears; convulsions; cough or hoarseness; dark urine; decrease in frequency of urination; decrease in urine volume; difficulty in breathing; difficulty in passing urine (dribbling); difficulty in speaking; disturbed concentration; dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly; double vision; drooling; extremely high fever or body temperature; false beliefs that cannot be changed by facts; fast, weak heartbeat; fever with or without chills; general feeling of tiredness or weakness; headache; hearing loss; high fever; high or low blood pressure; hives or welts; inability to move arms, legs, or facial muscles; inability to speak; increased need to urinate; increased sweating; indigestion; irritability; itching; lack of coordination; light-colored stools; lip smacking or puckering; loss of appetite; loss of bladder control; lower back or side pain; muscle cramps; muscle spasm or jerking of all extremities; muscle trembling, jerking, or stiffness; nausea and vomiting; nervousness; numbness; pain or discomfort in arms, jaw, back, or neck; painful or difficult urination; pains in stomach, side, or abdomen, possibly radiating to the back; pale, clammy skin; passing urine more often; pinpoint red spots on skin; pounding in the ears; puffing of cheeks; rapid or worm-like movements of tongue; redness of skin; seeing, hearing, or feeling things that are not there; severe muscle stiffness; shortness of breath; shuffling walk; skin rash; slow speech; sore throat; sores, ulcers, or white spots on lips or in mouth; stiffness of limbs; sudden loss of consciousness; sweating; swollen glands; talking, feeling, and acting with excitement; testicular swelling; thirst; trouble in holding or releasing urine; twisting movements of body; uncontrolled chewing movements; uncontrolled movements, especially of face, neck, and back; unpleasant breath odor; unusual bleeding or bruising; unusually pale skin; upper right abdominal pain; vomiting of blood; yellow eyes and skin; ",,,"Change in consciousness; drowsiness; epileptic seizure that will not stop; fatigue; increased blood pressure; increased thirst; loss of consciousness; swelling of face, fingers, or lower legs; total body jerking; troubled breathing; weight gain; ","Dry mouth; ","Increased appetite; increased flow of breast milk; ","Agitation; breast enlargement; change in taste bad unusual or unpleasant (after)taste; decreased interest in sexual intercourse; depression; excess air or gas in stomach or intestines; full feeling; hair loss, thinning of hair; heartburn; inability to have or keep an erection; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased sensitivity of skin to sunlight; loss in sexual ability, desire, drive, or performance; menstrual changes; nasal stuffiness; painful ejaculation; passing gas; rapid weight gain; redness or other discoloration of skin; seizures; severe sunburn; stupor; swollen, painful, or tender lymph glands on side of face or neck; tearing of the eyes; unexpected or excess milk flow from breasts",
"amphetamine-dextroamphetamine","Bladder pain; bloody or cloudy urine; difficult, burning, or painful urination; fast, pounding, or irregular heartbeat or pulse; frequent urge to urinate; lower back or side pain; ","Chills; cough; diarrhea; fever; general feeling of discomfort or illness; headache; hoarseness; joint pain; loss of appetite; muscle aches and pains; nausea; runny nose; shivering; sore throat; sweating; trouble sleeping; unusual tiredness or weakness; vomiting; ",,"Blistering, peeling, or loosening of the skin; chest pain or discomfort; confusion; dark urine; difficulty breathing; difficulty with speaking; difficulty with swallowing; dizziness; double vision; faintness; inability to move the arms, legs, or facial muscles; inability to speak; itching, skin rash; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals; loss of bladder control; muscle cramps or stiffness; muscle spasm or jerking of the arms and legs; pain or discomfort in the arms, jaw, back, or neck; red skin lesions, often with a purple center; red, irritated eyes; seeing, hearing, or feeling things that are not there; seizures; slow speech; sores, ulcers, or white spots in the mouth or on the lips; sudden loss of consciousness; swelling of the feet or lower legs; tightness in the chest; uncontrolled repeated movements (tics); uncontrolled vocal outbursts; unusual tiredness or weakness; ",,,"Anxiety; dry mouth; lack or loss of strength; stomach pain; weight loss; ",,,"Constipation; decreased interest in sexual intercourse; false or unusual sense of well-being; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs"
"amphetamine","Agitation; anxiety; bladder pain; bloody or cloudy urine; crying; delusions of persecution, mistrust, suspiciousness, or combativeness; difficult, burning, or painful urination; false or unusual sense of well-being; feeling of unreality; frequent urge to urinate; lower back or side pain; mental depression; nervousness; quick to react or overreact emotionally; rapidly changing moods; sense of detachment from self or body; ","Chills; cough; fever; hoarseness; ","Seeing, hearing, or feeling things that are not there; severe mental changes; ","Blistering, peeling, loosening of the skin; blurred vision; chest pain or discomfort; confusion; dark urine; diarrhea; difficulty breathing; dizziness; fainting; fast, irregular, pounding, or racing heartbeat or pulse; headache; hives, itching, skin rash; joint or muscle pain; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals; mood swings; muscle cramps, pain, stiffness, or spasms; nausea; overactive reflexes; pain or discomfort in the arms, jaw, back, or neck; paleness or cold feeling in the fingertips and toes; pounding in the ears; red skin lesions, often with a purple center; red, irritated eyes; restlessness; shakiness in the legs, arms, hands, or feet; shivering; slow or fast heartbeat; sore throat; sores, ulcers, or white spots in the mouth or on the lips; sweating; swelling of the feet or lower legs; talking or acting with excitement you cannot control; tingling or pain in the fingers or toes when exposed to cold temperatures; trouble sleeping; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; uncontrolled vocal outbursts or tics (uncontrolled repeated body movements); unusual tiredness or weakness; vomiting; ",,,"Dry mouth; loss of appetite; stomach ache; voice changes; weight loss; ","Belching; heartburn; indigestion; stomach discomfort, upset, or pain; ",,"Constipation; decreased interest in sexual intercourse; difficulty having a bowel movement; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; redness of the skin; thinning or loss of hair; unpleasant taste"
"aripiprazole","Difficulty with speaking; drooling; loss of balance control; muscle trembling, jerking, or stiffness; restlessness; shuffling walk; stiffness of the limbs; twisting movements of the body; uncontrolled movements, especially of the face, neck, and back; ","Blurred vision; dizziness; headache; inability to move the eyes; increased blinking or spasms of the eyelid; nervousness; pounding in the ears; slow or fast heartbeat; sticking out the tongue; trouble with breathing or swallowing; unusual facial expressions; ","High fever; high or low blood pressure; increased sweating; lip smacking or puckering; loss of bladder control; muscle spasm or jerking of all extremities; puffing of the cheeks; rapid or worm-like movements of the tongue; seizures; severe muscle stiffness; sudden loss of consciousness; tiredness; uncontrolled chewing movements; uncontrolled movements of the arms and legs; unusually pale skin; ","Hives or welts, itching, or skin rash; itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; redness of the skin; tightness in the chest; unusual tiredness or weakness; ",,,"Anxiety; belching; blurred vision; difficulty having a bowel movement; dry mouth; fear; fever; heartburn; hyperventilation; inability to sit still; indigestion; irritability; lightheadedness; need to keep moving; nervousness; rash; runny nose; shaking; sore throat; stomach discomfort, upset, or pain; trouble sleeping; weight gain; ","Accidental injury; bloating or swelling of the face, arms, hands, lower legs, or feet; body aches or pain; congestion; coughing; difficulty with moving; dryness or soreness of the throat; hoarseness; increased appetite; increased salivation; joint pain; muscle aching or cramping; muscle pains or stiffness; rapid weight gain; sneezing; stuffy nose; swollen joints; tender, swollen glands in the neck; tingling of the hands or feet; tremor; unusual weight gain or loss; voice changes",,
"armodafinil",,"Blistering, burning, crusting, dryness, or flaking of the skin; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; difficult or labored breathing; fast, irregular, pounding, or racing heartbeat or pulse; fever; frequent urination; headache, severe and throbbing; increased volume of pale, dilute urine; itching, scaling, severe redness, soreness, or swelling of the skin; rash; shakiness in the legs, arms, hands, or feet; tightness in the chest; trembling or shaking of the hands or feet; trouble breathing; ",,,,"Anxiety; blurred vision; chest pain or discomfort; confusion about identity, place, and time; diarrhea; dry mouth; headache; hyperventilation; irritability; lightheadedness, dizziness, or fainting; nausea; pounding in the ears; restlessness; seeing, hearing, or feeling things that are not there; slow heartbeat; trouble sleeping; unusual tiredness or weakness; ",,"Acid or sour stomach; belching; chills; cough; difficulty having a bowel movement (stool); discouragement; feeling sad or empty; general feeling of discomfort or illness; heartburn; indigestion; joint pain; loss of appetite; loss of interest or pleasure; mood or mental changes; muscle aches and pains; runny nose; shivering; sore throat; stomach discomfort, upset, or pain; sweating; thirst; tiredness; trouble concentrating; vomiting; weight loss; ",,
"asenapine","Abnormal or decreased touch sensation; inability to move the eyes; inability to sit still; increase in body movements; increased blinking or spasms of the eyelid; lip smacking or puckering; need to keep moving; puffing of the cheeks; rapid or worm-like movements of the tongue; restlessness; shakiness in the legs, arms, hands, or feet; sticking out of tongue; trembling or shaking of the hands or feet; trouble with breathing, speaking, or swallowing; twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; uncontrolled chewing movements; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual facial expressions; weakness of the arms and legs; ","Blurred vision; dizziness; headache; nervousness; pounding in the ears; slow or fast heartbeat; ","Black, tarry stools; bleeding gums; blood in the urine or stools; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; changes in patterns and rhythms of speech; coma; confusion; convulsions; decreased urine output; fast, pounding, or irregular heartbeat or pulse; increased thirst; muscle pain or cramps; nausea or vomiting; pale skin; pinpoint red spots on the skin; slurred speech; swelling of the face, ankles, or hands; troubled breathing with exertion; unusual bleeding or bruising; unusual tiredness or weakness; ",,,,"Constipation; sleepiness or unusual drowsiness; trouble sleeping; unusually deep sleep; unusually long duration of sleep; ","Acid or sour stomach; belching; depression; difficulty with moving; dry mouth; fear or nervousness; heartburn; increased appetite; increased watering of the mouth; increased weight; indigestion; irritability; muscle pain or stiffness; pain in the arms or legs; pain in the joints; stomach discomfort, upset, or pain; toothache; ",,
"atenolol","Blurred vision; cold hands or feet; confusion; difficult or labored breathing; dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly; shortness of breath; sweating; tightness in chest; unusual tiredness or weakness; wheezing; ","Anxiety; chest pain or discomfort; chills; cold sweats; cough; dizziness or lightheadedness; fainting; fast heartbeat; leg pain; noisy breathing; slow or irregular heartbeat; sudden shortness of breath or troubled breathing; ","Bloody urine; decreased frequency or amount of urine; increased blood pressure; increased thirst; loss of appetite; lower back or side pain; nausea; swelling of face, fingers, or lower legs; vomiting; weight gain; ","cidence not determined; Black, tarry stools; bleeding gums; blood in urine or stools; blurred or loss of vision; bone or joint pain; disturbed color perception; double vision; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; fever; halos around lights; night blindness; overbright appearance of lights; paleness or cold feeling in fingertips and toes; pinpoint red or purple spots on skin; severe mood or mental changes; skin irritation or rash, including rash that looks like psoriasis; skin rash, hives, or itching; sore throat; swollen or painful glands; tingling or pain in fingers or toes when exposed to cold; tunnel vision; unusual behavior; unusual bleeding or bruising; ",,,"Discouragement; feeling sad or empty; irritability; lack of appetite; loss of interest or pleasure; trouble concentrating; trouble sleeping; ","Diarrhea; dream activity; feeling of constant movement of self or surroundings; sensation of spinning; sleepiness; ",,"cidence not determined; Decreased interest in sexual intercourse; dry mouth; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; loss of hair, temporary; pain of penis on erection"
